"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016358","BP","GO:0016358","dendrite development","37/675","312/22853",7.12756139150771e-13,3.19813679636951e-09,2.68371443130769e-09,"Tsc2/Mef2c/Nsmf/Git1/Ptprs/Fyn/Numb/Arf4/Ctnnd2/Asap1/App/Spire1/Nedd4l/Ube3a/Epha4/Abi2/Dab1/Ezh2/Cyfip1/Cask/Nlgn3/Nedd4/Trak1/Ephb1/Ptprf/Sh3glb1/Opa1/Srcin1/Rere/Dnm3/Clip1/Fbxo31/Phactr1/Taok2/Nrg1/Ctnna2/Afdn",37
"GO:0007409","BP","GO:0007409","axonogenesis","44/675","486/22853",5.15973172498818e-11,8.82159423348792e-08,7.40263511505432e-08,"Tsc2/Eif2b2/Mef2c/Apc/Ptprs/Top2b/B4galt5/Sema6a/Rtn4/Nrcam/Nin/Numb/Evl/Ptk2/App/Mark2/Slit1/Ablim1/Rnf165/Fn1/Epha4/Vangl2/Vim/Stxbp1/Sema6d/Dab1/Macf1/Auts2/Cyfip1/Nlgn3/Plxna3/Neo1/Trak1/Ephb1/Szt2/Ptprm/Apbb1/Agrn/Bcl11b/Tenm2/Taok2/Nrg1/Ctnna2/Rhog",44
"GO:0050808","BP","GO:0050808","synapse organization","44/675","488/22853",5.89810178303182e-11,8.82159423348792e-08,7.40263511505432e-08,"Tsc2/Adgre5/Mef2c/Ptprs/Fyn/Nrcam/Numb/Arf4/Ctnnd2/Sybu/Ptk2/App/Nrxn1/Sorbs1/Ube3a/Epha4/Abi2/Adgrl2/Erc1/Cyfip1/Cask/Gripap1/Ophn1/Nlgn3/Flna/Dctn1/Cadm1/Nedd4/Ephb1/Ptprf/Arhgap39/Myo5a/Apbb1/Opa1/Srcin1/Dnm3/Erc2/Agrn/Eif4g1/Gphn/Taok2/Nrg1/Ctnna2/Afdn",44
"GO:0050803","BP","GO:0050803","regulation of synapse structure or activity","31/675","271/22853",1.33579242321003e-10,1.49842515073585e-07,1.25740249942691e-07,"Tsc2/Adgre5/Mef2c/Ptprs/Fyn/Nrcam/Arf4/Sybu/Ptk2/App/Nrxn1/Ube3a/Epha4/Abi2/Adgrl2/Cyfip1/Cask/Gripap1/Nlgn3/Dctn1/Nedd4/Ephb1/Ptprf/Opa1/Srcin1/Dnm3/Agrn/Eif4g1/Taok2/Ctnna2/Afdn",31
"GO:0050807","BP","GO:0050807","regulation of synapse organization","30/675","263/22853",2.84732793065151e-10,2.55519208496667e-07,2.14418779114536e-07,"Tsc2/Adgre5/Mef2c/Ptprs/Fyn/Nrcam/Arf4/Ptk2/App/Nrxn1/Ube3a/Epha4/Abi2/Adgrl2/Cyfip1/Cask/Gripap1/Nlgn3/Dctn1/Nedd4/Ephb1/Ptprf/Opa1/Srcin1/Dnm3/Agrn/Eif4g1/Taok2/Ctnna2/Afdn",30
"GO:0099173","BP","GO:0099173","postsynapse organization","26/675","203/22853",3.57316934321896e-10,2.67213514050391e-07,2.24232048082355e-07,"Tsc2/Ptprs/Fyn/Nrcam/Numb/Arf4/Ctnnd2/App/Nrxn1/Sorbs1/Ube3a/Epha4/Abi2/Cask/Ophn1/Nlgn3/Cadm1/Ephb1/Ptprf/Arhgap39/Opa1/Srcin1/Dnm3/Agrn/Gphn/Afdn",26
"GO:0022604","BP","GO:0022604","regulation of cell morphogenesis","34/675","337/22853",5.10083286195996e-10,3.26963386451634e-07,2.74371114995952e-07,"Fyn/Lims1/Rtn4/Itsn2/Numb/Dmtn/Dab2/Ptk2/Epb41l3/Nedd4l/Mark2/Fn1/Epha4/Camsap1/Src/Macf1/Cyfip1/Cask/Flna/Plxna3/Tpm1/Ptprf/Fmnl2/Sh3glb1/Fermt2/Opa1/Smurf1/Ttc3/Rhoj/Fbxo31/Taok2/Afdn/Rhog/Ap1ar",34
"GO:0031345","BP","GO:0031345","negative regulation of cell projection organization","26/675","209/22853",6.78368387662454e-10,3.80479869430179e-07,3.19279437193237e-07,"Tchp/Tsc2/Evi5l/Ptprs/Sema6a/Fyn/Rtn4/Evl/Dab2/Ptk2/Nrxn1/Slit1/Ube3a/Epha4/Vim/Dync1i2/Sema6d/Dab1/Nlgn3/Flna/Plxna3/Neo1/Map4/Ptprf/Dennd5a/Dnm3",26
"GO:0048813","BP","GO:0048813","dendrite morphogenesis","24/675","185/22853",1.30906959093223e-09,6.52643917168104e-07,5.47665722428608e-07,"Nsmf/Fyn/Numb/Ctnnd2/Nedd4l/Ube3a/Epha4/Abi2/Cask/Nlgn3/Nedd4/Trak1/Ephb1/Ptprf/Sh3glb1/Opa1/Srcin1/Rere/Dnm3/Fbxo31/Phactr1/Taok2/Ctnna2/Afdn",24
"GO:0060996","BP","GO:0060996","dendritic spine development","19/675","128/22853",7.29849896136933e-09,3.27483648396642e-06,2.7480769247177e-06,"Tsc2/Mef2c/Git1/Ptprs/Arf4/Ctnnd2/Asap1/Spire1/Ube3a/Epha4/Abi2/Cask/Nlgn3/Ephb1/Opa1/Srcin1/Dnm3/Nrg1/Afdn",19
