group,condition,replicate,name,path
fb_e11_12,control,1,fb_e11.5_rep1,data/quant/fb_e11.5_rep1/quant.sf
fb_e11_12,control,2,fb_e11.5_rep2,data/quant/fb_e11.5_rep2/quant.sf
fb_e11_12,treatment,1,fb_e12.5_rep1,data/quant/fb_e12.5_rep1/quant.sf
fb_e11_12,treatment,2,fb_e12.5_rep2,data/quant/fb_e12.5_rep2/quant.sf
fb_e11_13,control,1,fb_e11.5_rep1,data/quant/fb_e11.5_rep1/quant.sf
fb_e11_13,control,2,fb_e11.5_rep2,data/quant/fb_e11.5_rep2/quant.sf
fb_e11_13,treatment,1,fb_e13.5_rep1,data/quant/fb_e13.5_rep1/quant.sf
fb_e11_13,treatment,2,fb_e13.5_rep2,data/quant/fb_e13.5_rep2/quant.sf
fb_e11_14,control,1,fb_e11.5_rep1,data/quant/fb_e11.5_rep1/quant.sf
fb_e11_14,control,2,fb_e11.5_rep2,data/quant/fb_e11.5_rep2/quant.sf
fb_e11_14,treatment,1,fb_e14.5_rep1,data/quant/fb_e14.5_rep1/quant.sf
fb_e11_14,treatment,2,fb_e14.5_rep2,data/quant/fb_e14.5_rep2/quant.sf
fb_e11_15,control,1,fb_e11.5_rep1,data/quant/fb_e11.5_rep1/quant.sf
fb_e11_15,control,2,fb_e11.5_rep2,data/quant/fb_e11.5_rep2/quant.sf
fb_e11_15,treatment,1,fb_e15.5_rep1,data/quant/fb_e15.5_rep1/quant.sf
fb_e11_15,treatment,2,fb_e15.5_rep2,data/quant/fb_e15.5_rep2/quant.sf
fb_e11_16,control,1,fb_e11.5_rep1,data/quant/fb_e11.5_rep1/quant.sf
fb_e11_16,control,2,fb_e11.5_rep2,data/quant/fb_e11.5_rep2/quant.sf
fb_e11_16,treatment,1,fb_e16.5_rep1,data/quant/fb_e16.5_rep1/quant.sf
fb_e11_16,treatment,2,fb_e16.5_rep2,data/quant/fb_e16.5_rep2/quant.sf
fb_e11_p0,control,1,fb_e11.5_rep1,data/quant/fb_e11.5_rep1/quant.sf
fb_e11_p0,control,2,fb_e11.5_rep2,data/quant/fb_e11.5_rep2/quant.sf
fb_e11_p0,treatment,1,fb_p0_rep1,data/quant/fb_p0_rep1/quant.sf
fb_e11_p0,treatment,2,fb_p0_rep2,data/quant/fb_p0_rep2/quant.sf
