#ELM_Instance_Download_Version: 1.4
#ELM_Instance_Download_Date: 2022-03-17 09:28:34.137269
#Origin: asimov
#Type: tsv
#NumInstances: 3934
"Accession"	"ELMType"	"ELMIdentifier"	"ProteinName"	"Primary_Acc"	"Accessions"	"Start"	"End"	"References"	"Methods"	"InstanceLogic"	"PDB"	"Organism"
"ELMI003774"	"CLV"	"CLV_C14_Caspase3-7"	"A0A0H3NIK3_SALTS"	"A0A0H3NIK3"	"A0A0H3NIK3"	"483"	"487"	"20947770"	"enzymatic reaction; mutation analysis; protease assay; western blot"	"true positive"	""	"Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344"
"ELMI002256"	"CLV"	"CLV_C14_Caspase3-7"	"ATN1_HUMAN"	"P54259"	"P54259 Q99495 Q99621 Q9UEK7"	"103"	"107"	"10085113 9535906"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001933"	"CLV"	"CLV_C14_Caspase3-7"	"ATN1_HUMAN"	"P54259"	"P54259 Q99495 Q99621 Q9UEK7"	"106"	"110"	"10085113 9535906"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001914"	"CLV"	"CLV_C14_Caspase3-7"	"BCAR1_RAT"	"Q63767"	"Q63767 Q63766"	"413"	"417"	"10712510"	"classical fluorescence spectroscopy; cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Rattus norvegicus"
"ELMI001915"	"CLV"	"CLV_C14_Caspase3-7"	"BCAR1_RAT"	"Q63767"	"Q63767 Q63766"	"745"	"749"	"10712510"	"classical fluorescence spectroscopy; cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Rattus norvegicus"
"ELMI001928"	"CLV"	"CLV_C14_Caspase3-7"	"CADH1_HUMAN"	"P12830"	"P12830 Q13799 Q14216 Q15855 Q16194 Q4PJ14"	"747"	"751"	"11076937"	"cleavage reaction; confocal microscopy; edman degradation; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001931"	"CLV"	"CLV_C14_Caspase3-7"	"CASP6_HUMAN"	"P55212"	"P55212 Q9BQE7"	"20"	"24"	"8900201"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001929"	"CLV"	"CLV_C14_Caspase3-7"	"CASP6_HUMAN"	"P55212"	"P55212 Q9BQE7"	"176"	"180"	"8900201"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001930"	"CLV"	"CLV_C14_Caspase3-7"	"CASP6_HUMAN"	"P55212"	"P55212 Q9BQE7"	"190"	"194"	"8900201"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
"ELMI001932"	"CLV"	"CLV_C14_Caspase3-7"	"CASP9_HUMAN"	"P55211"	"P55211 O95348 Q53Y70 Q5JRU9 Q92852 Q9BQ62 Q9UEQ3 Q9UIJ8"	"327"	"331"	"8900201"	"cleavage reaction; mutation analysis; western blot"	"true positive"	""	"Homo sapiens"
